srNo,description,unit,rate,bankName,bankRcNo
1,"Brick wall, 4 1/2"" thk with plaster on both sides",sft,99.0,AUSFB,AUSFB-001
2,"Brick wall, 9"" thk.with plaster on both sides",sft,137.5,AUSFB,AUSFB-001
3,R.C.C. Lintels,rft,77.0,AUSFB,AUSFB-001
4,Pantry granite Counter with s.s sink & shutter below,rft,3500.0,AUSFB,AUSFB-001
5,Wash-Basin Counter,rft,1600.0,AUSFB,AUSFB-001
6,"Upto 6"" ht wide granite jamb ",rft,168.0,AUSFB,AUSFB-001
7,"Upto  7"" to 12"" wide granite jambs",rft,250.0,AUSFB,AUSFB-001
8,White marble jambs for windows,rft,99.0,AUSFB,AUSFB-001
9,"Breaking 6""/9""thk brick wall",Sft,10.0,AUSFB,AUSFB-001
10,"Breaking 6""/9""thk RCC wall (Manual)",Sft,24.0,AUSFB,AUSFB-001
